program_reference_id,date_received,description,facility_site_name,facility_site_address,city,county,permit_status,permit_type,completed_date,permit_number,days_used,expiration,url,site_id,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"Census Year","State FIPS","County FIPS","Place Name","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS (block)","Full FIPS (tract)","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code"
EX0840N009005,"4/11/89 0:00",,"Superior Asphalt Co",,"Unknown City",Cass,"AP:  Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","5/17/89 0:00",0586-003,36,,,AP000037N009,38.35075,-92.456783,1,state,,,,,,MO,,,US,"TIGER/Line® dataset from the US Census Bureau",,,,,,,,,,,,,,,,,
EX37400021007,"8/4/93 0:00","flexo printing press","Package Service Company, Inc.","1800 NW VIVION RD",Northmoor,Platte,"AP:  Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","11/22/93 0:00",1193-022,110,,,APA001650021,39.182542,-94.601729,0.9,rooftop,1800,"NW Vivion Rd",,,Northmoor,MO,"Platte County",64150,US,"Platte County",2021,29,29165,Northmoor,2953174,030002,3015,3,291650300023015,29165030002,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX08400001005,"8/9/93 0:00",,"Martin Marietta Aggregates","15719 South Airport Road",Greenwood,Cass,"AP:  Awaiting Completeness Check","AP: Sec 5 & 6: Deminimis and Minor","3/29/94 0:00",,232,,,AP0000370001,38.835744,-94.33445,0.7,street_center,,"Airport Rd",,,Greenwood,MO,"Cass County",64034,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29037,,,060402,1005,1,290370604021005,29037060402,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX10200042004,"6/16/76 0:00","Soybean Processing","Archer Daniels Midland Co","200 W 19TH ST","Kansas City",Clay,"AP:  Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","6/16/76 0:00",0676-006,0,,,AP0000470042,39.090811,-94.586008,1,range_interpolation,200,"W 19th St",,,"Kansas City",MO,"Jackson County",64108,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29095,"Kansas City",2938000,015800,1016,1,290950158001016,29095015800,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX10200002003,"10/25/76 0:00","Corn Products","CPC International","1001 Bedford Ave","North Kansas City",Clay,"AP:  Section 5 Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","10/27/76 0:00",1076-014,2,,,APA000470002,39.128781,-94.570247,0.95,range_interpolation,1001,"Bedford Rd",,,"Kansas City",MO,"Clay County",64116,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29047,"North Kansas City",2953102,022100,6149,6,290470221006149,29047022100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX10200019005,"11/16/76 0:00","New Processes","Ford Motor Company - Kansas City Plant","8121 E US Hwy 69","Kansas City",Clay,"AP:  Section 5 Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","11/17/76 0:00",1176-010..014,1,,,AP0000470019,38.998953,-94.49297,0.8,range_interpolation,8121,"E 69th St",,,"Kansas City",MO,"Jackson County",64133,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29095,"Kansas City",2938000,017500,1029,1,290950175001029,29095017500,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX22400002006,"1/17/77 0:00",Boiler,"Amoco Oil Co","1000 North Sterling","Sugar Creek",Jackson,"AP:  Section 5 Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","1/17/77 0:00",0177-006,0,,,APA000950002,39.112849,-94.444597,0.7,street_center,,"N Sterling Ave",,,Independence,MO,"Jackson County",64054,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29095,"Sugar Creek",2971368,011100,1037,1,290950111001037,29095011100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX37400007005,"2/6/77 0:00","Unit 1 PSD","Kansas City Power & Light (Iatan)","20240 Hwy 45 North",Weston,Platte,"AP:  Permit Issued","AP: Section 7, 8 & 9 Major Source Review","2/8/77 0:00",0277-EPA,2,,,AP0001650007,39.457402,-94.969503,0.89,nearest_rooftop_match,20250,"N Mo-45 Hwy",,,Weston,MO,"Platte County",64098,US,"Platte County",2021,29,29165,,,030700,3001,3,291650307003001,29165030700,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX10200014004,"2/11/77 0:00","Potato Chip Manufacturer","Guys Foods","405 S LEONARD ST",Liberty,Clay,"AP:  Section 5 Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","2/11/77 0:00",0277-003,0,,,AP0000470014,39.240543,-94.416671,1,range_interpolation,405,"S Leonard St",,,Liberty,MO,"Clay County",64068,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29047,Liberty,2942032,021403,2015,2,290470214032015,29047021403,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX0950118005,"4/22/77 0:00",Incinerator,"National Germedical Hospital","500 N Murry","Lee's Summit",Jackson,"AP:  Section 5 Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","2/6/78 0:00",0278-007,290,,,APA000950118,38.909792,-94.404142,0.8,rooftop,500,"SW Murray Rd",,,"Lees Summit",MO,"Jackson County",64081,US,Jackson,2021,29,29095,"Lee's Summit",2941348,013708,1004,1,290950137081004,29095013708,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
