program_reference_id,date_received,description,facility_site_name,facility_site_address,city,county,permit_status,permit_type,completed_date,permit_number,days_used,expiration,url,site_id
EX0840N009005,4/11/89 0:00,NA,Superior Asphalt Co,NA,Unknown City,Cass,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,5/17/89 0:00,0586-003,36,NA,NA,AP000037N009
EX37400021007,8/4/93 0:00,flexo printing press,"Package Service Company, Inc.",1800 NW VIVION RD,Northmoor,Platte,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,11/22/93 0:00,1193-022,110,NA,NA,APA001650021
EX08400001005,8/9/93 0:00,NA,Martin Marietta Aggregates,15719 South Airport Road,Greenwood,Cass,AP:  Awaiting Completeness Check,AP: Sec 5 & 6: Deminimis and Minor,3/29/94 0:00,NA,232,NA,NA,AP0000370001
EX10200042004,6/16/76 0:00,Soybean Processing,Archer Daniels Midland Co,200 W 19TH ST,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,6/16/76 0:00,0676-006,0,NA,NA,AP0000470042
EX10200002003,10/25/76 0:00,Corn Products,CPC International,1001 Bedford Ave,North Kansas City,Clay,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,10/27/76 0:00,1076-014,2,NA,NA,APA000470002
EX10200019005,11/16/76 0:00,New Processes,Ford Motor Company - Kansas City Plant,8121 E US Hwy 69,Kansas City,Clay,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,11/17/76 0:00,1176-010..014,1,NA,NA,AP0000470019
EX22400002006,1/17/77 0:00,Boiler,Amoco Oil Co,1000 North Sterling,Sugar Creek,Jackson,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,1/17/77 0:00,0177-006,0,NA,NA,APA000950002
EX37400007005,2/6/77 0:00,Unit 1 PSD,Kansas City Power & Light (Iatan),20240 Hwy 45 North,Weston,Platte,AP:  Permit Issued,"AP: Section 7, 8 & 9 Major Source Review",2/8/77 0:00,0277-EPA,2,NA,NA,AP0001650007
EX10200014004,2/11/77 0:00,Potato Chip Manufacturer,Guys Foods,405 S LEONARD ST,Liberty,Clay,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,2/11/77 0:00,0277-003,0,NA,NA,AP0000470014
EX0950118005,4/22/77 0:00,Incinerator,National Germedical Hospital,500 N Murry,Lee's Summit,Jackson,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,2/6/78 0:00,0278-007,290,NA,NA,APA000950118
EX10200019007,11/8/77 0:00,Storage Tanks,Ford Motor Company - Kansas City Plant,8121 E US Hwy 69,Kansas City,Clay,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,11/8/77 0:00,1177-005..006,0,NA,NA,AP0000470019
EX10200019008,12/12/77 0:00,Steam Boilers,Ford Motor Company - Kansas City Plant,8121 E US Hwy 69,Kansas City,Clay,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,12/12/77 0:00,1277-005..006,0,NA,NA,AP0000470019
EX10200019006,4/19/78 0:00,Painting,Ford Motor Company - Kansas City Plant,8121 E US Hwy 69,Kansas City,Clay,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,6/8/78 0:00,0678-008,50,NA,NA,AP0000470019
EX0950002009,5/1/78 0:00,Ultraformer Unit,Amoco Oil Co,1000 North Sterling,Sugar Creek,Jackson,AP:  Section 7 Permit Issued,"AP: Section 7, 8 & 9 Major Source Review",1/23/79 0:00,0179-EPA,267,NA,NA,APA000950002
EX0950002007,11/1/78 0:00,Sulfur Recovery Unit,Amoco Oil Co,1000 North Sterling,Sugar Creek,Jackson,AP:  Section 7 Permit Issued,"AP: Section 7, 8 & 9 Major Source Review",11/27/78 0:00,1178-EPA,26,NA,NA,APA000950002
EX0950011008,11/8/78 0:00,Wastewater Treatment,Miles Inc (Bayer Corp),8400 HAWTHORNE RD,Kansas City,Jackson,AP:  Section 7 Permit Issued,"AP: Section 7, 8 & 9 Major Source Review",11/8/78 0:00,NA,0,NA,NA,AP0000950011
EX08400007005,9/20/94 0:00,NA,Limpus Quarries Harrisonville,19100 E 231ST ST,Harrisonville,Cass,AP:  No Permit Required,AP: Sec 5 & 6: Deminimis and Minor,11/7/94 0:00,NA,48,NA,NA,APA000370007
EX2240N030005,10/3/94 0:00,Remediation,Fina Oil & Chemical Company,5220 Blue Ridge Cutoff,Kansas City,Jackson,AP:  No Permit Required,AP: Sec 5 & 6: Deminimis and Minor,11/8/94 0:00,NA,36,NA,NA,AP000095N030
EX37400015009,10/11/94 0:00,7500 gal diesel tank,Conoco Riverside,6699 NW RIVER PARK DR,Riverside,Platte,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,1/9/95 0:00,0195-026,90,NA,NA,APA001650015
EX2240N031005,10/17/94 0:00,Remediation,Fina Oil & Chemical Company,308 N. Hwy 291,Kansas City,Jackson,AP:  No Permit Required,AP: Sec 5 & 6: Deminimis and Minor,11/8/94 0:00,NA,22,NA,NA,AP000095N031
EX10200122006,11/1/94 0:00,NA,Clark Printing Company,1534 Burlington St.,Pleasant Valley,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,2/10/95 0:00,0295-004,101,NA,NA,APA000470122
EX22400237005,11/14/94 0:00,NA,Progress Rail Services,5600 Stillwell Avenue,North Kansas City,Jackson,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,11/30/94 0:00,NA,16,NA,NA,AP0000950237
EX22400169006,11/30/94 0:00,NA,"Ash Grove Aggregates, Inc",23004 East Hwy 24,Independence,Jackson,AP:  Technical Review,AP: Sec 4: Relocate to New Site,12/13/94 0:00,NA,13,NA,NA,AP0000950169
EX22400046021,12/7/94 0:00,NA,Lake City Army Ammunition Plant,MO Hwy 78,Independence,Jackson,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,3/6/95 0:00,0395-027,89,NA,NA,AP0000950046
EX22400057008,12/19/94 0:00,NA,"Pfizer Inc, Animal Health Group",1 SE PFIZER WAY,Lee's Summit,Jackson,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,3/6/95 0:00,NA,77,NA,NA,AP0000950057
EX10200148005,12/25/94 0:00,NA,"Star Boards, Inc.",1408 Gentry,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,3/3/95 0:00,0395-013,68,NA,NA,AP0000470148
PORT0093008,1/9/95 0:00,Asphalt,APAC - Kansas - Independence Division,2031 N Courtney Rd,Independence,Jackson,AP:  Section 4 Permit Issued,AP: Sec 4: Relocate to New Site,4/14/95 0:00,NA,95,NA,NA,AP0000950061
EX0950239005,1/18/95 0:00,CONCRETE BATCHING FOR PRECAST CONCRETE MANUFACTURING,Pavestone Company,601 NE PAVESTONE DR,Lee's Summit,Jackson,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,5/12/95 0:00,0695-008,114,NA,NA,APA000950280
EX199503002,3/10/95 0:00,Fuel station remediation,Safewater @ Circle K,5802 E 125th St,Grandview,Jackson,AP:  No Permit Required,AP: Applicability Determination Request,4/14/95 0:00,NA,35,NA,NA,AP0199503002
EX10200042013,3/20/95 0:00,replace gas turbine generator,Archer Daniels Midland Co,200 W 19TH ST,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,6/12/95 0:00,0695-012,84,NA,NA,AP0000470042
EX08400042005,3/23/95 0:00,Grain unloading-rail cars,Scoular Grain Company,1209 INDUSTRIAL BLVD,Harrisonville,Cass,AP:  Appeal Resolved,AP: Sec 5 & 6: Deminimis and Minor,10/2/95 0:00,0595-015,193,NA,NA,AP0000370050
EX10200150005,3/27/95 0:00,NA,Excelsior Springs Animal Control,805 Lake Maurer Rd,Excelsior Springs,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,8/1/95 0:00,0895-002,127,NA,NA,AP0000470150
EX0950002008,2/12/79 0:00,Testing Conditions,Amoco Oil Co,1000 North Sterling,Sugar Creek,Jackson,AP:  Amendment Approved,AP: Corrections & Amendments,2/27/79 0:00,1178-EPA - A,15,NA,NA,APA000950002
EX3740N003005,3/5/79 0:00,NA,Mid-Continent Asphalt & Paving,100 Main,Parkville,Platte,AP:  Permit Issued,"AP: Section 7, 8 & 9 Major Source Review",5/1/79 0:00,0579-010,57,NA,NA,AP000165N003
EX10200024005,5/7/79 0:00,NA,"Central Soya of Kansas City, Inc",2005 Taney Avenue,Kansas City,Clay,AP:  Awaiting Completeness Check,AP: Sec 5 & 6: Deminimis and Minor,5/11/79 0:00,0579-022,4,NA,NA,AP0000470024
