program_reference_id,date_received,description,facility_site_name,facility_site_address,city,county,permit_status,permit_type,completed_date,,,permit_number,days_used,expiration,url,site_id,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS (block),Full FIPS (tract),Metro/Micro Statistical Area Name,Metro/Micro Statistical Area Code,Metro/Micro Statistical Area Type,Combined Statistical Area Name,Combined Statistical Area Code,Metropolitan Division Area Name,Metropolitan Division Area Code
AP202205012,05/11/22,Incinerator,MoKan Crematory LLC,1720 kansas ave,Kansas City,Jackson,AP:  Permit Issued,AP: Permit-by-Rule,06/27/22,,,062022-013,47,,,AP0000950413,39.09144,-94.548905,1,rooftop,1720,Kansas Ave,,,Kansas City,MO,Jackson County,64127,US,Jackson,2021,29,29095,Kansas City,2938000,16000,1049,1,2.91E+14,29095016000,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202107013,07/07/21,Airport,Kansas City Airport Aviation Dept,601 brasilia ave,Kansas City,Platte,AP:  Operating Permit Issued,AOP: Intermediate Operating Permit Renewal,06/06/22,,,OP2022-012,334,6/6/27,,AP0001652404,39.304398,-94.720609,1,rooftop,601,Brasilia Ave,,,Kansas City,MO,Platte County,64153,US,Platte County,2021,29,29165,Kansas City,2938000,980000,1011,1,2.92E+14,29165980000,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202109019,09/17/21,Data Services,Velvet Tech Services-Kansas City,nw 124th st and outer rd,Kansas City,Clay,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,05/19/22,,,052022-012,244,,,AP0000470211,39.31815,-94.581789,1,street_center,,NW 124th St,,,Kansas City,MO,Clay County,64165,US,TIGER/Line® dataset from the US Census Bureau,2021,29,29047,Kansas City,2938000,21900,3043,3,2.90E+14,29047021900,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202109020,09/17/21,Confidentiality for 2021-09-019,Velvet Tech Services-Kansas City,nw 124th st and outer rd,Kansas City,Clay,AP:  Request Approved,AP: Confidentiality Request,05/19/22,,,,244,,,AP0000470211,39.31815,-94.581789,1,street_center,,NW 124th St,,,Kansas City,MO,Clay County,64165,US,TIGER/Line® dataset from the US Census Bureau,2021,29,29047,Kansas City,2938000,21900,3043,3,2.90E+14,29047021900,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202202020,02/14/22,New Portable Concrete,Clarkson Construction-Gardner,4133 gardner ave,Kansas City,Jackson,AP:  Permit Issued,AP: IR Sec 5 & 6: Deminimis and Minor,05/18/22,,,052022-009,93,,,AP0202202020,39.127134,-94.532873,1,rooftop,4133,Gardner Ave,,,Kansas City,MO,Jackson County,64120,US,Jackson,2021,29,29095,Kansas City,2938000,15500,1065,1,2.91E+14,29095015500,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202204044,04/25/22,Boiler,International Paper Company,4343 clary blvd,Kansas City,Jackson,AP:  No Permit Required,AP: Sec 5 & 6: Deminimis and Minor,05/18/22,,,,23,,,AP0000952177,39.045879,-94.520965,1,rooftop,4343,Clary Blvd,,,Kansas City,MO,Jackson County,64130,US,Jackson,2021,29,29095,Kansas City,2938000,17100,4013,4,2.91E+14,29095017100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202201034,01/24/22,New Stationary Asphalt,Ideker Inc - Amity ,9810 amity ave,Kansas City,Platte,AP:  Permit Issued,AP: IR Sec 5 & 6: Deminimis and Minor,05/10/22,,,052022-003,106,,,AP0001650047,39.276466,-94.691381,0.9,rooftop,9810,N Amity Ave,,,Kansas City,MO,Platte County,64153,US,City of Kansas City,2021,29,29165,Kansas City,2938000,30308,4002,4,2.92E+14,29165030308,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202201035,01/26/22,Crusher Change,Kissick Construction - Denver,5734 denver ave,Kansas City,Jackson,AP:  Section 5 Permit Issued,AP: IR Sec 5 & 6: Deminimis and Minor,04/13/22,,,42022003,77,,,AP0201908034,39.020807,-94.525856,1,rooftop,5734,Denver Ave,,,Kansas City,MO,Jackson County,64130,US,Jackson,2021,29,29095,Kansas City,2938000,7802,2012,2,2.91E+14,29095007802,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202203020,03/08/22,Concrete,Geiger Ready Mix-Troost,troost and bannister rd,Kansas City,Jackson,AP:  Section 4 Permit Issued,AP: Sec 4: Relocate to New Site,03/21/22,,,072021-015A,13,,,AP0202203027,38.955467,-94.580717,0.57,intersection,,E Bannister Rd,,,Kansas City,MO,Jackson County,64131,US,TIGER/Line® dataset from the US Census Bureau,2021,29,29095,Kansas City,2938000,9700,1001,1,2.91E+14,29095010103,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
AP202202019,02/09/22,Temporary Boiler,Miles Inc (Bayer Corp),8400 hawthorne rd,Kansas City,Jackson,AP:  Temporary Permit Issued,AP: Temporary or Pilot Plant Permit,03/16/22,,,032022-013,35,,,AP0000950011,39.12172,-94.478888,1,rooftop,8400,Hawthorne Rd,,,Kansas City,MO,Jackson County,64120,US,Jackson,2021,29,29095,Kansas City,2938000,15500,2003,2,2.91E+14,29095015500,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
