program_reference_id,date_received,description,facility_site_name,facility_site_address,city,county,permit_status,permit_type,completed_date,permit_number,days_used,expiration,url,site_id
EX10200042004,6/16/76 0:00,Soybean Processing,Archer Daniels Midland Co,200 w 19th st,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,6/16/76 0:00,0676-006,0,NA,NA,AP0000470042
EX10200019005,11/16/76 0:00,New Processes,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,11/17/76 0:00,1176-010..014,1,NA,NA,AP0000470019
EX10200019007,11/8/77 0:00,Storage Tanks,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,11/8/77 0:00,1177-005..006,0,NA,NA,AP0000470019
EX10200019008,12/12/77 0:00,Steam Boilers,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,12/12/77 0:00,1277-005..006,0,NA,NA,AP0000470019
EX10200019006,4/19/78 0:00,Painting,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Section 5 Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,6/8/78 0:00,0678-008,50,NA,NA,AP0000470019
EX0950011008,11/8/78 0:00,Wastewater Treatment,Miles Inc (Bayer Corp),8400 hawthorne rd,Kansas City,Jackson,AP:  Section 7 Permit Issued,"AP: Section 7, 8 & 9 Major Source Review",11/8/78 0:00,NA,0,NA,NA,AP0000950011
EX2240N030005,10/3/94 0:00,Remediation,Fina Oil & Chemical Company,5220 blue ridge cutoff,Kansas City,Jackson,AP:  No Permit Required,AP: Sec 5 & 6: Deminimis and Minor,11/8/94 0:00,NA,36,NA,NA,AP000095N030
EX2240N031005,10/17/94 0:00,Remediation,Fina Oil & Chemical Company,308 n. hwy 291,Kansas City,Jackson,AP:  No Permit Required,AP: Sec 5 & 6: Deminimis and Minor,11/8/94 0:00,NA,22,NA,NA,AP000095N031
EX10200148005,12/25/94 0:00,NA,"Star Boards, Inc.",1408 gentry,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,3/3/95 0:00,0395-013,68,NA,NA,AP0000470148
EX10200042013,3/20/95 0:00,replace gas turbine generator,Archer Daniels Midland Co,200 w 19th st,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,6/12/95 0:00,0695-012,84,NA,NA,AP0000470042
EX10200024005,5/7/79 0:00,NA,"Central Soya of Kansas City, Inc",2005 taney avenue,Kansas City,Clay,AP:  Awaiting Completeness Check,AP: Sec 5 & 6: Deminimis and Minor,5/11/79 0:00,0579-022,4,NA,NA,AP0000470024
EX10200019010,7/16/79 0:00,small parts dry scuff booth,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,7/30/79 0:00,0779-014..,14,NA,NA,AP0000470019
EX08600009005,10/11/79 0:00,limestone processing facility,"Van Craw Materials Co., Inc.",5201 brighton,Kansas City,Cedar,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,4/1/80 0:00,0480-001..,173,NA,NA,AP0000390009
EX10200018005,12/11/79 0:00,bulk limestone storage bin,Owens Corning Fiberglass,825 armour road,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,1/1/80 0:00,0180-007,21,NA,NA,AP0000470018
EX10200024010,5/5/80 0:00,NA,"Central Soya of Kansas City, Inc",2005 taney avenue,Kansas City,Clay,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,5/20/80 0:00,0580-004,15,NA,NA,AP0000470024
EX10200019015,10/18/83 0:00,rises in emission rate,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,10/30/84 0:00,1084-003..,378,NA,NA,AP0000470019
EX10200081005,12/5/83 0:00,second web offset printing press,"Clark Printing Co., Inc",1534 burlington,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,7/10/84 0:00,0784-003,218,NA,NA,AP0000470081
EX10200019016,10/16/84 0:00,NA,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Permit Issued,"AP: Section 7, 8 & 9 Major Source Review",3/10/86 0:00,0386-003,510,NA,NA,AP0000470019
PORT0117005,5/6/85 0:00,concrete batching plant,Clarkson Construction Co,4133 gardner ave,Kansas City,Portable Plant,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,5/20/85 0:00,0585-019,14,NA,NA,AP00PORT0117
EX10200042005,8/15/85 0:00,gas turbine co-generator,Archer Daniels Midland Co,200 w 19th st,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,12/1/86 0:00,0186-003,473,NA,NA,AP0000470042
PORT0065006,6/17/95 0:00,Portable Concrete Plant,Loch Sand & Construction,NA,Kansas City,Platte,AP:  Section 4 Permit Issued,AP: Sec 4: Relocate to New Site,8/15/95 0:00,0692-020,59,8/15/97 0:00,NA,AP0001652411
EX10200019017,12/23/85 0:00,NA,Ford Motor Company - Kansas City Plant,8121 e us hwy 69,Kansas City,Clay,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,1/21/87 0:00,0187-005,394,NA,NA,AP0000470019
PORT0118005,4/8/86 0:00,concrete batching plant,Clarkson Construction Co,4133 gardner ave,Kansas City,Portable Plant,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,4/28/86 0:00,0486-007,20,NA,NA,AP00PORT0118
EX10200042006,6/10/86 0:00,soybean drying & dehulling system,Archer Daniels Midland Co,200 w 19th st,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,12/1/86 0:00,1286-001,174,NA,NA,AP0000470042
EX10200013004,9/8/86 0:00,Replace solder sideseamer w/welded sideseamer,American Can Co,1545 erie st,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,6/2/87 0:00,0687-001A,267,NA,NA,AP0000470013
EX3740N001005,9/8/86 0:00,NA,American Can Co,1545 erie st,Kansas City,Clay,AP:  Technical Review,AP: Sec 5 & 6: Deminimis and Minor,6/2/87 0:00,0687-001,267,NA,NA,AP0000470013
EX10200042014,7/29/95 0:00,replace boiler,Archer Daniels Midland Co,200 w 19th st,Kansas City,Clay,AP:  Permit Issued,AP: Sec 5 & 6: Deminimis and Minor,10/27/95 0:00,1095-032,90,NA,NA,AP0000470042
EX0950020005,2/12/87 0:00,428 T/yr VOC requested as part of alternate emissions strategy,G M Leeds Plant,6817 stadium dr,Kansas City,Jackson,AP:  ERC Request Approved,AP: Banking Requests,10/13/87 0:00,BANK,243,NA,NA,AP0000950020
EX0950021005,4/2/87 0:00,NA,Kansas City Power and Light,115 grand ave.,Kansas City,Jackson,AP:  ERC Request Approved,AP: Banking Requests,9/30/88 0:00,BANK,547,NA,NA,APA000950021
EX22400022005,4/23/87 0:00,NA,Kansas City Power & Light Co (Hawthorn),8700 hawthorne rd,Kansas City,Jackson,AP:  ERC Request Approved,AP: Banking Requests,9/30/88 0:00,BANK,526,NA,NA,AP0000950022
