state,county,census_tract_number,life_expectancy,life_expectancy_range,life_expectancy_standard_error
Missouri,"Cass County, MO",0600.01,83.9,81.7-97.5,3.2331
Missouri,"Cass County, MO",0600.03,78.3,77.6-79.5,1.3567
Missouri,"Cass County, MO",0600.04,74.5,56.9-75.1,1.2854
Missouri,"Cass County, MO",0601.00,NA,NA,NA
Missouri,"Cass County, MO",0602.02,76,75.2-77.5,1.1646
Missouri,"Cass County, MO",0603.01,80.6,79.6-81.6,1.0245
Missouri,"Cass County, MO",0603.02,78.3,77.6-79.5,1.2058
Missouri,"Cass County, MO",0603.05,82.1,81.7-97.5,1.8132
Missouri,"Cass County, MO",0604.00,82.8,81.7-97.5,1.21
Missouri,"Cass County, MO",0605.00,78.5,77.6-79.5,2.6863
Missouri,"Cass County, MO",0606.00,75.9,75.2-77.5,1.0575
Missouri,"Cass County, MO",0607.00,77.6,77.6-79.5,1.71
Missouri,"Cass County, MO",0608.00,79.9,79.6-81.6,1.4471
Missouri,"Cass County, MO",0609.04,73.6,56.9-75.1,1.3702
Missouri,"Cass County, MO",0610.01,80,79.6-81.6,1.4549
Missouri,"Cass County, MO",0610.02,79.7,79.6-81.6,1.7734
Missouri,"Cass County, MO",0611.00,77.8,77.6-79.5,1.1911
Missouri,"Cass County, MO",0612.00,75.2,75.2-77.5,1.3086
Missouri,"Cass County, MO",0613.00,73,56.9-75.1,1.6235
Missouri,"Cass County, MO",0614.00,74.7,56.9-75.1,1.4252
Missouri,"Clay County, MO",0202.01,78.3,77.6-79.5,2.5151
Missouri,"Clay County, MO",0202.02,81,79.6-81.6,1.3224
Missouri,"Clay County, MO",0203.00,77.5,75.2-77.5,1.0844
Missouri,"Clay County, MO",0204.00,76.4,75.2-77.5,1.3338
Missouri,"Clay County, MO",0205.00,74.8,56.9-75.1,0.8416
Missouri,"Clay County, MO",0206.02,76.4,75.2-77.5,2.0817
Missouri,"Clay County, MO",0206.03,74.3,56.9-75.1,1.7554
Missouri,"Clay County, MO",0206.04,76.9,75.2-77.5,1.9591
Missouri,"Clay County, MO",0208.01,77.6,77.6-79.5,1.1514
Missouri,"Clay County, MO",0209.01,78.3,77.6-79.5,1.1325
Missouri,"Clay County, MO",0209.02,73.6,56.9-75.1,1.8548
Missouri,"Clay County, MO",0210.01,77.4,75.2-77.5,1.3126
Missouri,"Clay County, MO",0210.03,80,79.6-81.6,1.5588
Missouri,"Clay County, MO",0210.04,79.7,79.6-81.6,2.2723
Missouri,"Clay County, MO",0211.01,75.8,75.2-77.5,1.433
Missouri,"Clay County, MO",0211.02,79.1,77.6-79.5,1.3075
Missouri,"Clay County, MO",0211.03,82.2,81.7-97.5,1.6117
Missouri,"Clay County, MO",0212.04,77.5,75.2-77.5,1.6878
Missouri,"Clay County, MO",0212.05,79.2,77.6-79.5,1.5338
Missouri,"Clay County, MO",0212.06,80.9,79.6-81.6,1.2084
Missouri,"Clay County, MO",0212.07,75.9,75.2-77.5,2.2557
Missouri,"Clay County, MO",0212.08,81.7,81.7-97.5,2.4014
Missouri,"Clay County, MO",0213.03,NA,NA,NA
